,0,1,2,3
0,GammaCorrection0.25,1.0,0.0,15694.353588553102
1,GammaCorrection0.5,1.0,0.0,75586.30452196745
2,GammaCorrection1.0,1.0,0.0,86271.0530116096
3,"GaussianBlur(3,1.0)",1.0,0.0,29273.36128679159
4,"GaussianBlur(3,2.0)",1.0,0.0,23377.785334795844
5,"GaussianBlur(3,4.0)",1.0,0.0,21833.16211348757
6,"GaussianBlur(5,1.0)",1.0,0.0,23227.173108167473
7,"GaussianBlur(5,2.0)",1.0,0.0,6442.666885927718
8,"GaussianBlur(5,4.0)",1.0,0.0,1329.4811322914863
9,blur3,1.0,0.0,21501.680814917007
10,blur5,1.0,0.0,1714.2930270977158
11,medianBlur3,1.0,0.0,22022.495351498546
12,medianBlur5,1.0,0.0,4586.175712023565
13,morphologyCL3,1.0,0.0,72158.98761396839
14,morphologyCL5,1.0,0.0,72158.98761396839
15,morphologyOP3,1.0,0.0,71473.9409942181
16,morphologyOP5,1.0,0.0,71473.9409942181
