,0,1,2,3
0,GammaCorrection0.25,1.0,0.0,17669.42524630997
1,GammaCorrection0.5,1.0,0.0,62316.37207980598
2,GammaCorrection1.0,1.0,0.0,123360.31622941737
3,"GaussianBlur(3,1.0)",1.0,0.0,37520.54509942985
4,"GaussianBlur(3,2.0)",1.0,0.0,24820.852425281177
5,"GaussianBlur(3,4.0)",1.0,0.0,21137.49489077984
6,"GaussianBlur(5,1.0)",1.0,0.0,24055.99972482063
7,"GaussianBlur(5,2.0)",1.0,0.0,2689.634132227493
8,"GaussianBlur(5,4.0)",1.0,0.0,1051.4389957393541
9,blur3,1.0,0.0,20718.8591149243
10,blur5,1.0,0.0,870.3563100744449
11,medianBlur3,1.0,0.0,22586.692776083455
12,medianBlur5,1.0,0.0,875.4845657031029
13,morphologyCL3,1.0,0.0,76001.42791605585
14,morphologyCL5,1.0,0.0,76001.42791605585
15,morphologyOP3,1.0,0.0,76473.06400186763
16,morphologyOP5,1.0,0.0,76473.06400186763
