,0,1,2,3
0,GammaCorrection0.25,1.0,0.0,33415.47201352796
1,GammaCorrection0.5,1.0,0.0,103542.53420038612
2,GammaCorrection1.0,1.0,0.0,139952.4777927976
3,"GaussianBlur(3,1.0)",1.0,0.0,67572.91074678166
4,"GaussianBlur(3,2.0)",1.0,0.0,36023.78487885353
5,"GaussianBlur(3,4.0)",1.0,0.0,30913.017472455907
6,"GaussianBlur(5,1.0)",1.0,0.0,49531.61753171456
7,"GaussianBlur(5,2.0)",1.0,0.0,6170.136129932775
8,"GaussianBlur(5,4.0)",1.0,0.0,1958.462745510055
9,blur3,1.0,0.0,29155.590962078775
10,blur5,1.0,0.0,1511.9464626483987
11,medianBlur3,1.0,0.0,57753.739486585415
12,medianBlur5,1.0,0.0,12278.924232100393
13,morphologyCL3,1.0,0.0,57071.67057009876
14,morphologyCL5,1.0,0.0,57071.67057009876
15,morphologyOP3,1.0,0.0,59308.06959102168
16,morphologyOP5,1.0,0.0,59308.06959102168
